--------------------epoch: 0--------------------
Training start ...
*[Iter]: 062 [Acc@1]: 7.031%  [Acc@5]: 26.562%  [Loss]: 4.02937.
*[Iter]: 063 [Acc@1]: 6.250%  [Acc@5]: 25.000%  [Loss]: 3.96107.
*[Iter]: 064 [Acc@1]: 7.031%  [Acc@5]: 21.875%  [Loss]: 4.11158.
*[Iter]: 065 [Acc@1]: 7.031%  [Acc@5]: 28.906%  [Loss]: 3.88572.
*[Iter]: 066 [Acc@1]: 6.250%  [Acc@5]: 25.781%  [Loss]: 3.95542.
*[Iter]: 067 [Acc@1]: 5.469%  [Acc@5]: 25.000%  [Loss]: 3.93663.
*[Iter]: 068 [Acc@1]: 7.812%  [Acc@5]: 25.781%  [Loss]: 4.09115.
*[Iter]: 069 [Acc@1]: 8.594%  [Acc@5]: 25.000%  [Loss]: 4.08354.
*[Iter]: 070 [Acc@1]: 7.812%  [Acc@5]: 28.125%  [Loss]: 4.04702.
*[Iter]: 071 [Acc@1]: 1.562%  [Acc@5]: 21.094%  [Loss]: 4.18867.
*[Iter]: 072 [Acc@1]: 7.031%  [Acc@5]: 22.656%  [Loss]: 4.02800.
*[Iter]: 073 [Acc@1]: 7.031%  [Acc@5]: 26.562%  [Loss]: 3.98896.
*[Iter]: 074 [Acc@1]: 6.250%  [Acc@5]: 25.781%  [Loss]: 4.14903.
*[Iter]: 075 [Acc@1]: 5.469%  [Acc@5]: 35.938%  [Loss]: 3.81837.
*[Iter]: 076 [Acc@1]: 9.375%  [Acc@5]: 23.438%  [Loss]: 4.08399.
*[Iter]: 077 [Acc@1]: 3.906%  [Acc@5]: 26.562%  [Loss]: 3.92710.
*[Iter]: 078 [Acc@1]: 3.125%  [Acc@5]: 25.000%  [Loss]: 4.05970.
*[Iter]: 079 [Acc@1]: 7.812%  [Acc@5]: 25.000%  [Loss]: 4.01259.
*[Iter]: 080 [Acc@1]: 7.812%  [Acc@5]: 28.125%  [Loss]: 4.02080.
*[Iter]: 081 [Acc@1]: 7.812%  [Acc@5]: 26.562%  [Loss]: 4.04666.
*[Iter]: 082 [Acc@1]: 7.812%  [Acc@5]: 24.219%  [Loss]: 4.00437.
*[Iter]: 083 [Acc@1]: 4.688%  [Acc@5]: 21.875%  [Loss]: 4.22052.
*[Iter]: 084 [Acc@1]: 11.719%  [Acc@5]: 34.375%  [Loss]: 3.89840.
*[Iter]: 085 [Acc@1]: 3.906%  [Acc@5]: 26.562%  [Loss]: 4.01025.
*[Iter]: 086 [Acc@1]: 5.469%  [Acc@5]: 26.562%  [Loss]: 4.03688.
*[Iter]: 087 [Acc@1]: 4.688%  [Acc@5]: 22.656%  [Loss]: 4.01629.
*[Iter]: 088 [Acc@1]: 4.688%  [Acc@5]: 17.969%  [Loss]: 4.02342.
*[Iter]: 089 [Acc@1]: 9.375%  [Acc@5]: 18.750%  [Loss]: 3.98497.
*[Iter]: 090 [Acc@1]: 3.125%  [Acc@5]: 29.688%  [Loss]: 3.97612.
*[Iter]: 091 [Acc@1]: 3.125%  [Acc@5]: 21.094%  [Loss]: 4.01526.
*[Iter]: 092 [Acc@1]: 3.906%  [Acc@5]: 25.781%  [Loss]: 4.04505.
*[Iter]: 093 [Acc@1]: 3.125%  [Acc@5]: 24.219%  [Loss]: 3.90246.
*[Iter]: 094 [Acc@1]: 7.812%  [Acc@5]: 31.250%  [Loss]: 3.96775.
*[Iter]: 095 [Acc@1]: 5.469%  [Acc@5]: 23.438%  [Loss]: 3.92640.
*[Iter]: 096 [Acc@1]: 7.812%  [Acc@5]: 22.656%  [Loss]: 4.01001.
*[Iter]: 097 [Acc@1]: 3.906%  [Acc@5]: 33.594%  [Loss]: 3.89879.
*[Iter]: 098 [Acc@1]: 3.906%  [Acc@5]: 29.688%  [Loss]: 3.89150.
*[Iter]: 099 [Acc@1]: 8.594%  [Acc@5]: 22.656%  [Loss]: 3.77819.
*[Iter]: 100 [Acc@1]: 7.031%  [Acc@5]: 23.438%  [Loss]: 3.93012.
*[Iter]: 101 [Acc@1]: 9.375%  [Acc@5]: 32.031%  [Loss]: 3.82222.
*[Iter]: 102 [Acc@1]: 4.688%  [Acc@5]: 21.094%  [Loss]: 4.12194.
*[Iter]: 103 [Acc@1]: 10.938%  [Acc@5]: 25.781%  [Loss]: 3.88849.
*[Iter]: 104 [Acc@1]: 3.125%  [Acc@5]: 25.781%  [Loss]: 3.99985.
*[Iter]: 105 [Acc@1]: 7.812%  [Acc@5]: 26.562%  [Loss]: 3.89395.
*[Iter]: 106 [Acc@1]: 3.906%  [Acc@5]: 24.219%  [Loss]: 4.07694.
*[Iter]: 107 [Acc@1]: 5.469%  [Acc@5]: 28.125%  [Loss]: 4.02404.
*[Iter]: 108 [Acc@1]: 6.250%  [Acc@5]: 24.219%  [Loss]: 4.03928.
*[Iter]: 109 [Acc@1]: 9.375%  [Acc@5]: 33.594%  [Loss]: 3.66002.
*[Iter]: 110 [Acc@1]: 5.469%  [Acc@5]: 18.750%  [Loss]: 4.03697.
*[Iter]: 111 [Acc@1]: 4.688%  [Acc@5]: 24.219%  [Loss]: 3.91724.
*[Iter]: 112 [Acc@1]: 8.594%  [Acc@5]: 25.781%  [Loss]: 3.98294.
*[Iter]: 113 [Acc@1]: 6.250%  [Acc@5]: 35.156%  [Loss]: 3.74144.
*[Iter]: 114 [Acc@1]: 3.906%  [Acc@5]: 25.000%  [Loss]: 3.94604.
*[Iter]: 115 [Acc@1]: 4.688%  [Acc@5]: 31.250%  [Loss]: 3.75826.
*[Iter]: 116 [Acc@1]: 9.375%  [Acc@5]: 27.344%  [Loss]: 3.77854.
*[Iter]: 117 [Acc@1]: 8.594%  [Acc@5]: 34.375%  [Loss]: 3.69636.
*[Iter]: 118 [Acc@1]: 9.375%  [Acc@5]: 27.344%  [Loss]: 4.04116.
*[Iter]: 119 [Acc@1]: 10.938%  [Acc@5]: 31.250%  [Loss]: 3.84793.
*[Iter]: 120 [Acc@1]: 12.500%  [Acc@5]: 26.562%  [Loss]: 3.84294.
*[Iter]: 121 [Acc@1]: 7.812%  [Acc@5]: 24.219%  [Loss]: 3.88691.
*[Iter]: 122 [Acc@1]: 7.812%  [Acc@5]: 29.688%  [Loss]: 3.85622.
*[Iter]: 123 [Acc@1]: 5.469%  [Acc@5]: 25.000%  [Loss]: 3.99438.
*[Iter]: 124 [Acc@1]: 6.250%  [Acc@5]: 28.906%  [Loss]: 3.84237.
*[Iter]: 125 [Acc@1]: 7.812%  [Acc@5]: 28.906%  [Loss]: 3.99966.
*[Iter]: 126 [Acc@1]: 4.688%  [Acc@5]: 18.750%  [Loss]: 4.25343.
*[Iter]: 127 [Acc@1]: 12.500%  [Acc@5]: 32.031%  [Loss]: 3.82407.
*[Iter]: 128 [Acc@1]: 7.812%  [Acc@5]: 32.031%  [Loss]: 3.85591.
*[Iter]: 129 [Acc@1]: 5.469%  [Acc@5]: 23.438%  [Loss]: 3.93624.
*[Iter]: 130 [Acc@1]: 6.250%  [Acc@5]: 26.562%  [Loss]: 3.96756.
*[Iter]: 131 [Acc@1]: 10.938%  [Acc@5]: 28.125%  [Loss]: 3.84401.
*[Iter]: 132 [Acc@1]: 8.594%  [Acc@5]: 31.250%  [Loss]: 3.89178.
*[Iter]: 133 [Acc@1]: 8.594%  [Acc@5]: 30.469%  [Loss]: 3.89597.
